d_codigo,d_asenta,c_mnpio
38100,San Antonio Gallardo,7
38105,Los Tres Puentes,7
38110,José Pérez (Hoyos de Arena),7
38110,El Diamante de la Virgen,7
38110,La Concordia,7
38110,La Esperanza de Yustis (Los Martínez),7
38114,Las Palmas,7
38115,Segunda de Estrada (San Pablo),7
38115,Patria Nueva,7
38115,Pedro María Anaya,7
38116,El Puente,7
38117,El Becerro (Santos Degollado),7
38124,Roque,7
38125,Los Aguirre,7
38126,Villas de Roque (La Ladrillera),7
38126,San Rafael de Yustis (Loretío),7
38130,Los Establos (Los Arenales),7
38130,Guadalupe,7
38134,La Trinidad,7
38134,Luis Donaldo Colosio,7
38137,San José de la Presa,7
38140,Las Granjas,7
38143,San Isidro del Refugio (El Tajo),7
38143,El Cuije,7
38143,Monte Grande,7
38144,Partidas (San Juan de Partidas),7
38144,La Cruz,7
38144,La Máquina,7
38144,Jofre,7
38144,Los Mancera,7
38144,Santa Anita,7
38144,La Granja,7
38144,San Francisco,7
38150,Rincón de Tamayo Centro,7
38152,La Cruz,7
38152,Arroyo,7
38153,San Juan,7
38154,San Marcos,7
38155,La Resurrección,7
38159,Nuevo México,7
38160,Apaseo El Grande Centro,5
38160,San Juan,5
38160,Primavera,5
38163,El Cerrito,5
38163,San José,5
38163,Casas Blancas,5
38163,Antonio Plaza,5
38163,La Pastorcita,5
38163,Acequia Grande,5
38163,Jacarandas,5
38163,Puente Colorado,5
38164,Obrera,5
38164,Los Hernández,5
38164,Del Charco,5
38164,Jardines,5
38164,Las Peñitas,5
38164,La Calzada,5
38164,Lindavista,5
38165,La Villita,5
38165,El Molino de Arriba,5
38165,Loma Bonita,5
38165,Ruiz Cortinez,5
38165,15 de Mayo,5
38165,La Esperanza,5
38165,Ricardo Flores Magon,5
38165,Vista Hermosa,5
38166,Las Maravillas,5
38166,La Azteca,5
38166,Las Violetas,5
38166,Margarita Maza de Juárez,5
38166,Los Molina,5
38166,El Molino,5
38167,Miravalle,5
38167,Villas del Sur,5
38167,Los Fresnos,5
38167,La Huerta,5
38167,Magisterial,5
38168,Fundación,5
38168,Las Higueras,5
38168,Venustiano Carranza,5
38168,El Pedregal,5
38174,García,5
38184,Las Adjuntas,5
38195,San Cristóbal,5
38195,Villa Colombia,5
38197,Rancho Nuevo,5
38200,Comonfort Centro,9
38202,La Providencia,9
38203,Álvaro Obregón,9
38204,Magisterial,9
38204,Cuauhtémoc,9
38204,San Francisco Chumacero,9
38204,San Carlos,9
38204,Camacho,9
38204,La Mezquitada,9
38204,Guadalupe,9
38204,San Francisco,9
38204,Solidaridad,9
38204,Las Haciendas,9
38204,Santa Lucía,9
38204,29 de Junio,9
38204,2a. de San Carlos,9
38205,Orduña de Abajo,9
38206,Rinconcillo (Rinconcillo de los Remedios),9
38207,San Isidro de San Jerónimo,9
38210,Empalme Escobedo Centro,9
38210,Soria,9
38210,Azteca,9
38210,Lázaro Cárdenas,9
38210,Romero Trovador,9
38210,Lindavista,9
38210,1o. de Mayo,9
38210,Guadalupe (San Antonio de Guadalupe),9
38210,Loma Linda,9
38210,Sector Reforma,9
38217,La Laguna,9
38240,Santa Cruz de Juventino Rosas Centro,35
38243,Ampliación El Puente,35
38243,La Torna,35
38243,Lindavista II,35
38243,Loma Bonita de América,35
38243,Río Grande,35
38243,San José de las Pilas,35
38243,Popular 176,35
38243,12 de Octubre,35
38243,El Puente,35
38243,Villas de Juventino,35
38244,Magisterial,35
38244,Villas del Sol,35
38244,Plutarco Elías Calles,35
38244,Siglo XXI,35
38245,Benito Juárez,35
38245,Campestre,35
38245,Chichenitza,35
38245,Gustavo Cabrera,35
38245,José Maria Morelos,35
38245,La Luz II,35
38245,La Luz III,35
38245,Las Flores,35
38245,Libertadores,35
38245,San Pablo,35
38245,Unión Popular Independiente,35
38245,Juventino Rosas,35
38245,Articulo 27,35
38245,Lázaro Cárdenas,35
38245,Deportiva,35
38245,26 de Abril,35
38245,Prolongación Matamoros,35
38245,Nueva Santa Cruz,35
38245,Josefina Villagomez,35
38245,Unión de Allende,35
38245,La Luz,35
38245,Las Arboledas,35
38245,Agustin Gallegos,35
38245,Camino Real,35
38245,Anastacio Mendoza,35
38245,El Mirador,35
38245,Andrés Delgado,35
38246,Agrarismo,35
38246,12 de Noviembre,35
38246,Enrique Velasco Ibarra,35
38246,Agrarismo Sección II,35
38246,Emiliano Zapata,35
38247,La Haciendita,35
38247,Ejidal Lindavista,35
38247,Galeana,35
38247,Raymundo Flores,35
38250,Casa Blanca,35
38250,El Tecolote,35
38250,San Antonio Nuevo Valencia (La Chiripa),35
38250,Jaralillo,35
38250,Valencia,35
38253,Felipe Ángeles,35
38253,Insurgentes,35
38253,Lomas Verdes,35
38254,Bellavista,35
38254,Juan Mendoza Rangel (Ejidal Zúñiga),35
38254,San Nicolás,35
38255,La Esperanza,35
38255,San Antonio de las Maravillas,35
38255,San José de Merino,35
38255,Tejada,35
38255,Franco,35
38255,San José de Manantiales,35
38256,San José del Sauz,35
38260,Rivera del Río,44
38260,Villagran Centro,44
38260,Insurgentes,44
38260,Las Flores,44
38260,Revolución,44
38260,Deportiva,44
38260,Independencia,44
38260,Planetaria,44
38260,Emiliano Zapata,44
38260,Renacimiento,44
38260,La Venta,44
38260,Arboledas,44
38260,Alameda y Unidad Deportiva Norte,44
38260,Navarrete,44
38260,Las Hadas,44
38260,San Juanita,44
38260,Magisterial,44
38260,San José,44
38260,Las Villas,44
38260,Satélite,44
38260,Valle de La Venta,44
38260,La Purísima,44
38260,Villas del Sol,44
38260,Guadalupe,44
38260,Ampliación Guadalupe,44
38260,Ampliación La Purísima,44
38260,Corregidora,44
38260,El Poder,44
38260,La Esquina,44
38260,San Antonio,44
38260,Metropolitana,44
38273,San Isidro Cerro Gordo,44
38280,San Antonio el Chico,44
38294,Cerrito de las Yerbas,44
38295,El Huizachal (El Parral),44
38295,El Tajo del Parral (Tenería de Valdez),44
38300,Cortazar Centro,11
38315,Primero es Cortazar,11
38317,Chapingo,11
38317,Guanajuato,11
38317,San Miguel,11
38317,Valle de las Espinas,11
38320,Dos Plazas,11
38320,Del Valle,11
38320,Del Río,11
38320,Nueva del Valle,11
38322,Valle Hermoso,11
38322,El Molinito,11
38322,Los Ángeles,11
38322,San Diego,11
38324,Ejidal,11
38324,Unión de Colonos,11
38324,Villas de Cortazar,11
38324,Del Bosque,11
38329,El Fresno,11
38330,Los Álamos,11
38337,Villas de San Cristóbal,11
38342,La Perla,11
38342,Magueyes,11
38343,La Palma,11
38344,San Francisco,11
38344,Nueva San Francisco,11
38344,Las Flores,11
38345,Nueva Rosales,11
38346,Rosales,11
38346,San Vicente,11
38349,Burócrata,11
38349,El Peral,11
38350,Carrillo Puerto,11
38356,El Pipila,11
38357,Fray Elías Nieves,11
38358,Cerrito Colorado,11
38359,Alameda,11
38360,Jacinto López,11
38360,Fray Daniel Patiño Moreno,11
38360,Agua Caliente,11
38362,Panamericana,11
38362,Santa Fe,11
38363,La Palma II,11
38373,La Esperanza,11
38373,Joyas de Corralejo,11
38390,La Españita,11
38395,La Calzada (La Olla),11
38400,Valle de Santiago Centro,42
38403,Camembaro,42
38403,La Haciendita,42
38403,Granados,42
38403,La Gallega,42
38403,Isabel la Católica,42
38403,La Gallega,42
38404,Morelos,42
38404,Las Fuentes,42
38404,El Prado,42
38404,Los Pinos,42
38404,Luis Donaldo Colosio,42
38404,San José,42
38404,Santiago UCOC 1,42
38404,Santiago UCOC 2,42
38404,Santiago UCOC 3,42
38404,Valle Dorado,42
38405,Labradores,42
38405,Ranchos Unidos,42
38405,El Chorrito,42
38405,Francisco Villa,42
38405,Ignacio Ramírez,42
38405,San Juanito,42
38406,Emiliano Zapata,42
38406,Lindavista,42
38406,El Socorro,42
38406,Jarrón Azul,42
38406,Miravalle,42
38406,Molinito del Cerrito,42
38407,Santiago Malpais,42
38407,20 de Noviembre,42
38407,Magisterial,42
38407,Malpais,42
38407,7 Luminarias,42
38407,Lagunilla de Malpais,42
38407,Ampliación 20 de Noviembre,42
38407,Ecologista,42
38410,Emiliano Zapata (La Nopalera),42
38413,Ampliación las Estacas (Fuerte Apache),42
38417,El Triángulo,42
38420,San Ignacio de San José Parangueo,42
38420,Mogotes de San José Parangueo,42
38420,Nueva de San Antonio de Mogotes,42
38420,Primavera (San Ignacio),42
38420,Crucero de Mogotes,42
38420,El Crucero de la Presa,42
38424,Rancho de Guantes,42
38424,Ranchito de Paredones,42
38425,Nueva de Guantes,42
38426,San Isidro de Pitahayo,42
38426,La Esperanza,42
38426,Los Pinos,42
38426,El Molinito,42
38426,Miraflores (La Gachupina),42
38430,De Guadalupe (Guadalupe de Copales),42
38433,Loma Linda de Copales,42
38434,Benito Juárez,42
38453,Ranchos Unidos,42
38453,Ampliación Colonia del Chorrito,42
38453,Hoya de Cintora (La Hoya de Arriba),42
38453,Hoya de Álvarez,42
38453,Solidaridad,42
38455,San José de Araceo,42
38455,El Calvario,42
38455,Santiago Apóstol,42
38456,Rojas,42
38456,El Nacimiento,42
38463,Chihuindo,42
38463,El Pithayo,42
38470,Jaral del Progreso Centro,18
38473,Posito Santo,18
38473,Mezquite Ancho,18
38474,Hacienda del Carmen,18
38474,Hacienda Del Rincón,18
38474,Del Valle,18
38474,Del Río,18
38475,10 de Abril,18
38475,Emiliano Zapata,18
38476,Alqueria,18
38476,Felipe Ángeles,18
38476,Los Pedregales,18
38476,Lázaro Cárdenas,18
38476,Mogote del Gallo,18
38477,Las Flores,18
38477,Predio Las Esperanzas,18
38483,De la Cruz,18
38484,El Colorado,18
38484,El Tecolote,18
38493,De Fuentes (Las Colonias),11
38493,Guadalupe,11
38493,Piedra Clavada,11
38494,Los Laureles,11
38495,Alameda San José de los Amoles,11
38495,Rinconada del Camino Viejo,11
38495,La Fortaleza,11
38495,Los Reyes,11
38496,Vista Hermosa,11
38499,Manantiales,11
38499,San Nicolás de Manantiales,11
38500,Apaseo el Alto Centro,4
38503,Benito Juárez,4
38503,Centro Dos,4
38503,Ejido Apaseo el Alto,4
38504,Santa Elena Norte,4
38505,Santa Elena Sur,4
38505,Emiliano Zapata,4
38506,La Mesita,4
38507,San Rafael del Rejalgar,4
38507,Manuel Avila Camacho,4
38507,18 de Diciembre,4
38514,La Conquista y los Betunes,4
38524,Prolongación Lerdo de Tejada,4
38540,Jerécuaro Centro,19
38542,Niños Héroes,19
38542,Loma Plaza Martínez,19
38542,Los Laureles,19
38542,Los Órganos,19
38542,San Miguel,19
38542,El Cerrito,19
38542,Vista Hermosa,19
38542,Los Zapotes,19
38543,La Virgencita,19
38543,Loma Linda,19
38543,Reivindicación,19
38543,Loma Verde,19
38543,El Calvario,19
38544,Chalmita,19
38544,Rinconada de los Sabinos,19
38544,Aguilar y Maya,19
38544,El Plan,19
38544,El Plan de Pantoja,19
38544,Rivera,19
38544,El Bordito,19
38545,Juan Silva,19
38550,Jiménez,19
38567,El Cerrito (Las Palmas),19
38574,El Banco,19
38578,El Terrero,19
38578,El Arenal,19
38590,Bodo,10
38590,Las Arboledas,10
38590,Magisterio AC,10
38590,Coroneo Centro,10
38600,Acámbaro Centro,2
38600,Independencia,2
38610,Loma Bonita,2
38612,El Mirador,2
38612,El Vergel,2
38613,La Vega del Socorro,2
38613,Villas del Sol,2
38614,Las Flores,2
38614,Loma Dorada,2
38620,Rancho Grande,2
38623,El Derramadero,2
38625,Los Laureles,2
38630,Guadalupe,2
38630,Benjamín Méndez,2
38630,Solidaridad Ferrocarrilera,2
38630,Girasoles,2
38630,Malayas II,2
38640,Las Arboledas,2
38642,Valle de Acámbaro,2
38650,La Cantera,2
38650,Lomas Verdes,2
38650,Chicoazen,2
38650,Vista Hermosa,2
38650,Los Pinos,2
38652,22 de Marzo,2
38653,Vista Alegre,2
38653,La Cima,2
38654,La Soledad,2
38660,Catalina Gómez de Larrondo,2
38664,Enrique Velasco Ibarra,2
38670,San Isidro 1,2
38670,San Isidro 2,2
38672,Paraíso Dorado,2
38673,Pedregal de los Álamos,2
38674,Los Sauces,2
38675,La Laja,2
38676,Everardo Morales,2
38676,06 de Abril,2
38676,Eduardo Morales Herrejón,2
38679,Las Malayas,2
38680,Emilio Carranza,2
38683,Camelinas,2
38683,Luis Echeverría,2
38683,Las Águilas,2
38683,Agrícola Oriental,2
38683,Jacarandas,2
38683,La Cañada,2
38689,Río Blanco,2
38700,Tarimoro Centro,39
38701,Francisco Villa,39
38702,El Cerrito (FOVISSSTE),39
38702,Francisco Aguilera,39
38703,Emiliano Zapata,39
38704,Las Flores,39
38705,Magisterio,39
38706,Cañada de Tirados de Abajo,39
38708,Cañada de Tirados de Arriba,39
38708,El Aguacate,39
38715,Providencia de Cacalote,39
38725,Charco Largo,39
38730,San Pedro,2
38730,San Francisco Parácuaro,2
38735,Isaías Zúñiga (Colonia Ramírez),2
38736,Las Maravillas,2
38740,La Guadalupana,2
38740,Pinos de Inchamácuaro,2
38740,San Rafael,2
38754,San Pedro (La Placa),2
38755,Loma Linda,2
38760,La Loma,2
38763,Buenavista,2
38764,San Antonio,2
38764,La Laja,2
38765,El Paraíso,2
38765,Campamento Presa Solís,2
38766,San Miguel,2
38770,San Isidro,2
38770,El Cuije,2
38770,La Puerta del Monte,2
38770,Parcialidad,2
38785,México Nuevo,2
38786,Las Antenas,2
38787,La Esperanza (Hilario Hernández),2
38787,Las Malayas (La Providencia),2
38787,Llano del Derramadero,2
38787,Los Álamos,2
38790,Tarandacuao Centro,38
38794,El Cármen,38
38794,Las Flores,38
38794,El Pedregal,38
38794,Guanajuatito,38
38794,Las Lomas,38
38800,Moroleón Centro,21
38810,Hidalgo,21
38810,Fundadores de Moroleón,21
38810,El Comin,21
38817,El Llanito,21
38820,El Progreso,21
38823,Las Flores,21
38823,Modelo,21
38825,Lomas del Valle,21
38825,Nuevo Moroleón,21
38826,Valle Montaña (Vista Bella),21
38827,Villas del Sur,21
38827,Los Álamos,21
38830,El Chayote,21
38830,Insurgentes,21
38833,Rinconada de Ensueño,21
38834,La Noria,21
38834,Valle de Sur,21
38835,El Jardín,21
38835,Los Jazmines,21
38835,Las Américas,21
38835,Los Laureles,21
38836,El Planchón,21
38836,La Presa,21
38836,Los Ángeles,21
38836,El Jinete,21
38837,Los Sauces,21
38837,Curumbatio,21
38837,El Bordo,21
38840,El Terrero,21
38840,San Andrés,21
38844,San Lucas,21
38844,La Escobetilla,21
38845,Eduardo Zamudio,21
38845,Unión de Colonos El Terrero,21
38845,Valle Girasoles,21
38848,Las Arboledas,21
38848,Villas de San Vicente,21
38848,Voluntarios de Moroleón,21
38850,Niños Héroes,21
38853,Aviación Civil,21
38853,Los Constituyentes,21
38854,Villas de Guadalupe,21
38855,Los Tepames,21
38855,San Jorge,21
38860,El Ranchito,21
38860,Potrerillo I,21
38860,Potrerillo II,21
38860,Las Camelinas,21
38863,San Agustin,21
38863,Fuentes del Pedregal,21
38863,Lomas del Pedregal,21
38864,Pozo Blanco,21
38864,Valle Escondido,21
38864,Tierra y Libertad,21
38864,La Esperanza,21
38864,Unión de Colonos El Jinete,21
38865,Prados Verdes,21
38865,Valle del Sol,21
38866,Moroleón 2000,21
38866,Unión Libre Democrática,21
38866,Rincón del Romance,21
38867,Las Lomas,21
38867,Los Frutos,21
38867,Los Virreyes,21
38868,La Ortiga,21
38868,Morelos (el Pitayito),21
38868,Rincones del Ángel,21
38868,Tabachines,21
38868,Los Aztecas,21
38870,La Manguita,21
38870,Manguitas del Valle,21
38873,Los Coyotes,21
38873,La Placita,21
38874,Los Pinos,21
38874,San Francisco,21
38880,Juana de Medina,21
38887,Lomas del Tepeyac,21
38887,Pico de Pájaro,21
38887,San Isidro 2a Sección,21
38900,Celeste,28
38900,San Miguel,28
38900,Presa de San Juan,28
38900,Salvatierra Centro,28
38900,Loma Bonita,28
38900,Lázaro Cárdenas,28
38900,Guanajuato,28
38900,Guadalupe,28
38900,Deportiva,28
38900,Los Viveros,28
38900,La Esperanza,28
38900,El Progreso,28
38900,Santa Anita,28
38900,Álvaro Obregón,28
38900,San Cristóbal,28
38900,Batanes,28
38900,La Angostura,28
38900,Buenos Aires,28
38900,Flores Magón,28
38900,Lomas Verdes,28
38900,Pedregal,28
38900,Nueva Huatzindeo,28
38900,División del Norte,28
38900,San Juan,28
38900,Molino de Avila,28
38900,Nueva Glorieta,28
38900,Satélite,28
38900,Rancho Nuevo,28
38904,Los Arcos,28
38904,El Refugio (Rancho Nuevo),28
38904,Estación Guzmán,28
38905,Manríquez,28
38911,Provincia,28
38912,La Lomita de San José del Carmen,28
38940,Yuriria Centro,46
38943,Las Palmas,46
38944,Campestre del Río,46
38944,Wenceslao Victoria Soto,46
38944,Cruz Grande,46
38944,Independencia,46
38944,Proviste,46
38944,Yacatitas,46
38944,Niños Héroes,46
38945,San Juan,46
38945,Paseos de San Juan,46
38945,Unidad Deportiva,46
38946,5 de Mayo,46
38946,La Aldea,46
38946,Antiguo de la Cruz Colorada,46
38946,Las Flores,46
38947,Tepetates,46
38947,Lindavista,46
38947,Santa María,46
38947,Resplandor,46
38947,Guadalupana,46
38950,El Palo Dusal,46
38955,México,46
38956,Del Armadillo,46
38957,Potrero Nuevo,46
38960,La Calera,46
38960,El Canario,46
38963,San Isidro Calera,46
38965,San Antonio,46
38970,Santiago Maravatio Centro,36
38970,El Edén,36
38970,Reforma,36
38970,El Baño,36
38970,La Noria,36
38974,Francisco Villa,36
38974,Los Arreola,36
38974,Morelos,36
38980,Uriangato Centro,41
38982,Independencia,41
38982,Lázaro Cárdenas,41
38982,El Cuitzillo,41
38982,Juárez,41
38982,La Deseada de Abajo,41
38982,La Deseada de Arriba,41
38983,Manga del Pirúl,41
38983,Las Peñitas,41
38983,La Mora,41
38983,Loma Linda,41
38983,Loma Bonita,41
38983,Las Aguilillas,41
38983,Los Pinos,41
38983,La Joyita,41
38983,Plaza Textil Bedolla,41
38983,Las Arboledas,41
38983,La Venadita,41
38984,Lindavista,41
38984,Nuevo Uriangato,41
38984,Plan de Ayala,41
38984,24 de Junio,41
38984,Francisco Villa,41
38984,Emiliano Zapata,41
38984,Agrícola,41
38984,Magisterial,41
38984,Deportiva,41
38986,San José Cuaracurio,41
38986,Buenavista,41
38986,Los Portalitos,41
38987,La Peonia Residencial Campestre,41
38990,Calderón,21
38994,El Llavero,21
39000,Chilpancingo de los Bravos Centro,29
39010,Azteca,29
39010,Benito Juárez,29
39010,Bugambilias,29
39010,Caminos,29
39010,El Salado,29
39010,Electricistas,29
39010,Francisco Villa,29
39010,Guadalupe,29
39010,Haciendita Aeropuerto,29
39010,Hermenegildo Galeana,29
39010,La Sierrita,29
39010,Lázaro Cárdenas,29
39010,PPS,29
39010,Santa Fe,29
39010,Hermanos Neri,29
39010,Simapa,29
39010,Luis Donaldo Colosio,29
39012,Colinas del Sur,29
39013,21 de Septiembre,29
39014,Nuevo Horizonte,29
39014,Santa Rosa,29
39014,San José,29
39014,Elías Naime Nemer,29
39014,10 de Abril,29
39014,STTAISUAG,29
39014,La Floresta,29
39015,CNOP Secc C,29
39015,Ignacio Manuel Altamirano,29
39015,José María Pino Suárez,29
39015,Juquila Oriente,29
39016,Inviso,29
39016,Ixquiapan,29
39016,Tlacaellel,29
39016,Lucía Alcocer de Figueroa,29
39016,Renovación,29
39016,San José Chuchululuya,29
39016,San Rafael Norte,29
39016,Villas Tlalmeca,29
39016,Ampliación Lázaro Cárdenas,29
39016,María Dolores,29
39016,Ángel Aguirre Rivero,29
39016,La Ladera,29
39016,El Huajal,29
39016,4 de Marzo,29
39016,Las Terrazas,29
39017,Antonio I. Delgado,29
39017,Del Valle,29
39017,El Polvorín,29
39017,Francisco Javier Mina,29
39017,Tata Gildo,29
39017,José María Izazaga,29
39017,Lomas Verdes,29
39017,Timotlán,29
39017,Norberto Flores Baños,29
39017,Huaxcorral,29
39017,Tierras Prietas,29
39018,Valle Verde Norte,29
39020,CNOP Sección  A,29
39020,CNOP Sección B,29
39020,Moctezuma,29
39020,Ruffo Figueroa,29
39020,Vista Alegre,29
39020,Guerrero,29
39022,Rodolfo Neri Vela,29
39022,Lomas de Guadalupe,29
39022,Lomas de San Mateo,29
39022,Los Gobernadores,29
39025,Atlitenco Oriente,29
39025,Alianza Popular,29
39025,La Florida,29
39025,PRT,29
39025,Tierra y Libertad,29
39026,Jardín los Pinos,29
39028,Ricardo Flores Magón,29
39028,Ahuiyuco,29
39028,San Lucas,29
39028,Los Cedros,29
39028,Los Romeros,29
39028,Panorámica,29
39029,Plan de Ayala,29
39030,Cuauhtémoc Norte,29
39030,Juan N Alvarez,29
39030,Morelos,29
39030,Obrera,29
39030,San Juan,29
39030,Bella Vista,29
39034,El Mirador,29
39034,Lomas del Porvenir,29
39036,José López Portillo,29
39036,1ro de Mayo,29
39036,SNTE,29
39036,Juana Arcos de Moreno,29
39036,Ocozoapa,29
39038,Corregidora,29
39038,Huacapita,29
39038,América,29
39038,Libertad,29
39038,PRD,29
39038,Sección Septima,29
39038,Ampliación Leyes de Reforma,29
39038,Héroes de Guerrero,29
39038,Heberto Castillo,29
39038,Flor de Nochebuena,29
39038,José Francisco Ruiz Massieu,29
39038,Lomas de Xocomulco,29
39038,María de la O,29
39040,Apantzingo,29
39040,El Encanto,29
39040,Lomas de San Antonio,29
39040,Los Ángeles,29
39043,INDECO (Unidad Guerrerense),29
39043,Cooperativa de Vivienda,29
39044,16 de Septiembre,29
39044,La Esperanza,29
39044,La Herradura,29
39044,Miguel Hidalgo,29
39044,Primer Congreso de Anáhuac,29
39044,Ampliación Primer Congreso de Anáhuac,29
39047,Linda Vista,29
39047,Plutarco Elías Calles,29
39047,Satélite,29
39047,San Rafael Oriente,29
39047,Niños Héroes,29
39048,12 de Septiembre,29
39048,Buenos Aires,29
39048,La Trinchera,29
39048,Los Puentes,29
39048,San Ángel,29
39048,Telumbre,29
39048,Nuevo Milenio,29
39050,Emiliano Zapata,29
39050,Nicolás Bravo,29
39050,Progreso,29
39050,Renacimiento,29
39050,Vista Hermosa,29
39056,Las Palmas,29
39056,Eduardo Neri,29
39056,San Pedro,29
39058,Amelitos,29
39058,Omiltemi,29
39060,Cuauhtémoc Sur,29
39060,Los Sauces,29
39060,Margarita Viguri,29
39060,Militar,29
39060,San Miguelito,29
39070,Agua Potable,29
39070,El Calvario,29
39070,El Potrerito,29
39070,Del PRI,29
39070,Servidor Agrario,29
39070,Villa Moderna,29
39070,Valle Dorado,29
39070,Ciudad de los Servicios,29
39070,Paraíso del Sol,29
39070,Unidad Deportiva,29
39070,Asociación Civil,29
39070,Paraíso Siglo XXI,29
39070,Francisco Ruiz Massieu Sur,29
39070,Campestre Santa Rosa,29
39070,Tierra Larga,29
39073,Cumbres del Poniente,29
39073,Dr. Catalán,29
39073,Servidor Publico,29
39073,Villa Victoria,29
39074,Jardines del Sur,29
39074,Loma Alegre,29
39074,Atlitenco de Altamira,29
39074,Rubén Mora,29
39074,SARH,29
39074,Universidad,29
39074,Villas del Sol,29
39074,Rosario Ibarra,29
39074,Los Lirios,29
39075,Villa de las Flores,29
39075,Universitarios Unidos Por Guerrero,29
39075,14 de Febrero,29
39076,Nueva Imagen,29
39076,Misiones de Guadalupe,29
39076,Las Torres,29
39077,Lomas del Poniente,29
39077,Juquila,29
39077,Texcalco,29
39077,Barranco de Tequimil,29
39078,La Pradera,29
39078,Diana Laura Riojas de Colosio,29
39078,Tepolzingo,29
39079,Francisco Figueroa Mata,29
39079,Independencia,29
39079,Movimiento Territorial,29
39079,Reforma,29
39079,El Porvenir,29
39079,24 de Febrero,29
39080,Loma Bonita,29
39080,Universal,29
39085,El Tomatal,29
39085,Las Américas,29
39085,21 de Marzo,29
39085,México,29
39086,Haciendita II,29
39086,La Cima,29
39086,Tribuna Nacional,29
39086,Los Manantiales,29
39086,Magisterial,29
39086,Villas Aparicio,29
39086,1ro de Marzo,29
39087,Haciendita,29
39089,Amolonga,29
39089,Cuitlahuac,29
39089,Temixco,29
39089,Vicente Lombardo Toledano,29
39089,Villa del Roble,29
39089,Temixco II,29
39089,Barranca Pezuapa,29
39090,Burócratas,29
39090,Jacarandas,29
39090,Periodistas,29
39090,Pensadores,29
39090,Milpizaco,29
39090,Ex-Hacienda San Nicolás,29
39090,Unidad Magisterial Los Pinos,29
39093,Lomas del Bosque,29
39093,Brisas del Sur,29
39094,Reforma Universitaria,29
39095,Balcones de Tepango,29
39095,Cipatli,29
39095,Villas del Parador,29
39096,Paludismo,29
39096,Salubridad,29
39096,Villas de Leyva,29
39096,Valle Esmeralda,29
39096,OPCG,29
39097,Guerrero 200,29
39097,La Ciénega,29
39097,Revolución,29
39097,Villas Caminos del Sur,29
39097,6 de Julio,29
39097,Lomas de Ocotepec,29
39097,Villa Lucerna,29
39098,Tepozoteapa,29
39098,La Cinca,29
39102,Acahuizotla,29
39105,Agua Zarca,29
39105,10 de Junio,29
39105,Martires Antorchistas,29
39107,El Mirador,29
39110,La Cañada,29
39120,Anáhuac,29
39120,El Ocotito Centro,29
39120,Cuauhtémoc,29
39120,El Calvario,29
39120,Miguel Hidalgo,29
39120,Morelos,29
39120,San Isidro,29
39120,Vista Hermosa,29
39120,Vicente Guerrero,29
39127,Palo María,29
39130,Tlacotepec Centro,32
39130,Vista Hermosa,32
39130,Cerro de la Bandera,32
39130,El Zoquial,32
39130,De La Guadalupe,32
39130,De la Merced,32
39130,El Calvario,32
39130,El Espino,32
39130,La Cañita (Colonia San Antonio),32
39140,Renacimiento,32
39150,Asentamientos Humanos,40
39160,El Mirador,40
39170,Tixtla de Guerrero Centro,61
39172,Chichipico,61
39172,La Villita,61
39172,Los Amates,61
39172,Santa Cruz,61
39172,La Huerta,61
39172,Vicente Guerrero,61
39172,Villita,61
39172,Tlapochinalapa,61
39172,Emiliano Zapata,61
39172,Rinconada de Santiago,61
39172,6 de Noviembre,61
39173,Adolfo López Mateos,61
39173,Niños Héroes,61
39175,El Calvario,61
39175,El Palito Verde,61
39175,Los Manguitos,61
39175,Antonia Nava de Catalán,61
39175,Jardines de Tixtla,61
39175,Luis Donaldo Colosio,61
39175,Domingo Sánchez,61
39175,Ayotzinapa,61
39175,Rinconada del Zapote,61
39200,Ayutla de los Libres Centro,12
39200,Israel Nogueda Otero,12
39200,La Piedra del Zopilote,12
39200,La Nueva Reforma,12
39200,Miguel Hidalgo,12
39200,Vicente Guerrero,12
39200,Cruz Alta,12
39200,La Brama,12
39230,San Miguelito,44
39230,San Pedro,44
39230,La Villita,44
39230,Rodeo,44
39230,San Juan,44
39230,Cenobio Mendoza,44
39230,Tres Cruces,44
39230,El Cohuilote,44
39250,Quechultenango Centro,51
39250,El Refugio,51
39250,Insurgentes,51
39250,Manila,51
39250,San Sebastián,51
39250,El Hilamar,51
39250,Españita,51
39250,Buenavista,51
39250,Las Brisas,51
39250,Libertad,51
39260,Buenavista,51
39260,El Mirador,51
39260,España,51
39260,San Juan,51
39260,San Pedro,51
39270,La Laja,56
39270,Magisterios,56
39270,San Isidro,56
39270,San Juan,56
39270,3 Palos,56
39300,Acapulco de Juárez Centro,1
39300,El Capire,1
39350,Progreso,1
39350,13 de Junio,1
39350,Real de Acapulco,1
39390,Club Residencial las Américas,1
39390,Península de las Playas,1
39405,Ángel Aguirre,1
39405,Corregidora,1
39405,Ignacio Manuel Altamirano,1
39405,Jardín Azteca,1
39405,Nueva Jerusalén,1
39405,20 de Abril,1
39406,El Paraíso,1
39406,Reforma Agraria,1
39406,Roca de Oro,1
39407,San Isidro,1
39407,Lago Dorado,1
39407,Miramar,1
39407,Pedregoso,1
39407,Ampliación San Isidro,1
39407,Valle de las Flores,1
39407,Puesta del Sol,1
39407,Emiliano Zapata,1
39407,Brisas del Mar,1
39407,Tepeyac,1
39412,Costa Brava Terranova,1
39412,Jardín Mangos,1
