"d_codigo";"d_asenta";"fk_c_CP"
20804;"Azteca";1003
20804;"Morelos";1003
20805;"Cerrito Alto";1003
20805;"Emiliano Zapata";1003
20805;"Las Flores";1003
20805;"Valle de Huejucar";1003
20805;"Los Angeles";1003
20820;"Jardines de San Isidro (Colonia Limon)";1003
20834;"Potrero de los Lopez";1003
20834;"Las Huertas";1003
20834;"La Pila";1003
20834;"La Alberca";1003
20834;"La Españita";1003
20834;"Los Baños";1003
20834;"Los Esparza";1003
20834;"La Placita";1003
20834;"La Casa Grande";1003
20834;"Azoteyita";1003
20834;"Ojocaliente";1003
20834;"La Fortuna";1003
20834;"Los Arcos";1003
20834;"Magisterial";1003
20850;"Pozo de los Artistas";1003
20854;"El Taray";1003
20900;"Corral de Barrancos";1005
20900;"Maravillas";1005
20901;"El Maguey";1005
20901;"Las Jaulas";1005
20901;"La Loma de Valladolid";1005
20904;"El Barreno";1005
20905;"Miravalle";1005
20905;"Paso Blanco";1005
20905;"La Lomita de Paso Blanco (Las Canoas)";1005
20907;"Paseos de Aguascalientes";1005
20908;"Tepetates";1005
20909;"Saturnino Herran";1005
20909;"Los Vazquez";1005
20910;"San Antonio de los Horcones";1005
20910;"Brownsville";1005
20913;"Villas de Guadalupe (La Malobra)";1005
20913;"El Cenizo";1005
20920;"Jesus Maria Centro";1005
20922;"Bellavista";1005
20922;"El Calvario";1005
20922;"La Escalera";1005
20923;"Flores Magon";1005
20923;"La Cardona";1005
20923;"Los Arroyitos";1005
20923;"San Miguelito";1005
20924;"Cielo Claro";1005
20924;"Jacarandas";1005
20924;"Deportiva";1005
20925;"Lomas de Jesus Maria";1005
20925;"Vistas del Sauz";1005
20926;"Las Palmas";1005
20926;"Arboledas";1005
20926;"Chicahuales";1005
20926;"Lomas del Valle";1005
20926;"Martinez Andrade";1005
20926;"Vista Hermosa";1005
20927;"La Cañada";1005
20927;"Ampliacion La Cañada";1005
20927;"Ojos de Agua";1005
20928;"Luis Donaldo Colosio";1005
20928;"El Torito";1005
20928;"Las Palmas";1005
20928;"El Chaveño";1005
20928;"Solar de Jonacatique";1005
20933;"Union de Ladrilleros";1005
20983;"El Llano";1005
20984;"Providencia";1005
20994;"Villas de Montegrande";1005
20996;"La Primavera";1005
21000;"Centro Civico";2002
21010;"Industrial";2002
21020;"Burocrata";2002
21030;"Nacozari";2002
21030;"Libertad";2002
21039;"Esteban Cantu";2002
21040;"Ferrocarril";2002
21050;"Nueva Esperanza";2002
21060;"Anahuac";2002
21060;"Constituyentes";2002
21060;"Josue Molina";2002
21060;"Indeco Anahuac";2002
21080;"El Vidrio";2002
21090;"Del Rastro";2002
21090;"Ejido Zacatecas";2002
21090;"Agualeguas";2002
21100;"Nueva";2002
21100;"Primera Seccion";2002
21100;"Segunda Seccion";2002
21110;"Eligio Esquivel";2002
21110;"Fronteriza";2002
21110;"Revolucion";2002
21110;"Santa Clara";2002
21120;"Pueblo Nuevo";2002
21120;"Rio Nuevo";2002
21130;"Baja California";2002
21135;"Las Palmeras";2002
21135;"Palmar de Orizaba";2002
21135;"Sindicalista";2002
21135;"Los Faisanes";2002
21135;"Martires de La Democracia";2002
21137;"Lucerna";2002
21137;"Ampliacion Lucerna";2002
21137;"Luis Donaldo Colosio";2002
21137;"Mayos";2002
21137;"Oscar Garzon";2002
21137;"Carlos Salinas";2002
21137;"Ladrilleros Santa Isabel";2002
21137;"Cachanilla";2002
21137;"Villa del Campo";2002
21137;"San Martin Caballero";2002
21137;"El Colonial";2002
21137;"Villas Coahuila";2002
21137;"Villas del Paraiso";2002
21138;"La Luna";2002
21138;"San Clemente";2002
21138;"San Jacinto";2002
21138;"El Refugio";2002
21138;"Ampliacion Refugio";2002
21138;"El Paraiso";2002
21138;"Torremolinos";2002
21138;"Mision Viejo";2002
21138;"Valle de los angeles";2002
21139;"La Estrella";2002
21139;"Santa Isabel";2002
21139;"San Carlos";2002
21139;"Santa Lorena";2002
21139;"Gabriela Mistral";2002
21139;"San Jose";2002
21139;"Nuevo Santa Lucia";2002
21139;"San Pablo";2002
21139;"Ampliacion Centinela";2002
21139;"El Sauce";2002
21140;"Esperanza";2002
21140;"Loma Linda";2002
21140;"Parcela 36";2002
21147;"Bordo Wisteria";2002
21150;"Bellavista";2002
21150;"San Isidro";2002
21150;"Barrio alamo";2002
21150;"Jabonera";2002
21160;"San Luis";2002
21160;"Simental";2002
21160;"Gasca";2002
21160;"Municipio Libre";2002
21160;"CCI Ejidatarios";2002
21160;"Ejido Orizaba";2002
21170;"Militar";2002
21178;"Electricistas";2002
21179;"Martha Welch";2002
21180;"Universitario";2002
21185;"El Porvenir";2002
21190;"Granjas Virreyes";2002
21190;"Huertas de La Progreso";2002
21190;"Hermanos Fuentes";2002
21190;"Santo Niño";2002
21200;"Cuauhtemoc Norte";2002
21200;"Cuauhtemoc Sur";2002
21210;"Alamitos";2002
21210;"San Gabriel";2002
21210;"Estatutos Juridicos";2002
21210;"Prolongacion Alamitos";2002
21215;"Alameda";2002
21217;"Andalucia";2002
21218;"Compuertas";2002
21220;"Corregidora";2002
21220;"El Porvenir";2002
21220;"Imperial";2002
21220;"Josefa Ortiz de Dominguez";2002
21220;"Flores Magon";2002
21220;"Armando Gutierrez";2002
21224;"Nuevo Ideal";2002
21225;"Valle de alamo";2002
21229;"Alianza Para La Produccion";2002
21229;"Aduana Garita 2";2002
21230;"Aviacion";2002
21230;"Justo Sierra";2002
21230;"Periodista";2002
21239;"Ciudad Deportiva";2002
21240;"Prohogar";2002
21240;"Santa Maria";2002
21250;"Benito Juarez";2002
21250;"Constitucion";2002
21250;"Martires de 1906";2002
21250;"Miraflores";2002
21250;"Republica Mexicana";2002
21250;"Roma";2002
21260;"Chapultepec los Pinos";2002
21260;"Ampliacion las Fuentes";2002
21260;"1 de Diciembre";2002
21270;"Santa Rosalia";2002
21270;"Santa Teresa";2002
21270;"Vallarta";2002
21279;"Plaza Universidad";2002
21280;"Insurgentes Este";2002
21280;"Insurgentes Oeste";2002
21280;"Maestros Estatales";2002
21285;"Residencias Imperiales";2002
21290;"Independencia";2002
21290;"Ampliacion Independencia";2002
21297;"Villas del Rosario";2002
21297;"Hacienda de Lourdes";2002
21298;"Bordo la Rivera";2002
21299;"Mision de Guadalupe";2002
21300;"Division del Norte";2002
21309;"Parcela 62";2002
21310;"Morelos";2002
21320;"Esteban Cantu";2002
21320;"Felipe angeles";2002
21320;"Joaquin Murrieta";2002
21320;"Lucio Blanco";2002
21320;"Pedro Moreno";2002
21320;"Vicente Guerrero";2002
21323;"San Fernando Regularizacion Corett";2002
21323;"Voluntad";2002
21323;"Reacomodo San Fernando";2002
21323;"Valle de La Plata";2002
21324;"Reacomodo Rio Colorado";2002
21324;"Zaragoza";2002
21325;"Zona Progreso";2002
21325;"Cucapah Progreso";2002
21326;"Rivera de la Progreso";2002
21326;"Progreso";2002
21326;"Pioneros de La Progreso";2002
21326;"Jardines de La Progreso";2002
21326;"Ampliacion Santa Lucia Progreso";2002
21326;"Ciudad del Sol";2002
21327;"Mezquital";2002
21330;"Adolfo Lopez Mateos";2002
21337;"Televisora";2002
21339;"Ampliacion Jardines del Lago";2002
21340;"Aurora";2002
21340;"Monte Alban";2002
21350;"Conjunto Urbano Esperanza";2002
21350;"Gomez Farias";2002
21350;"Santa Cecilia";2002
21353;"Paseos de Xochimilco";2002
21353;"El Campanario";2002
21355;"Zona Urbana del Ejido Xochimilco";2002
21355;"Hacienda del Bosque";2002
21356;"Villa del Sol INFONAVIT";2002
21360;"Ex Ejido Coahuila";2002
21360;"Las Palmas";2002
21360;"Sanchez Taboada";2002
21370;"Carbajal";2002
21370;"Lazaro Cardenas";2002
21370;"Profesores Federales";2002
21376;"Plutarco Elias Calles";2002
21376;"Puerta del Sol";2002
21378;"Lomas de Abasolo";2002
21378;"Saturno (Abasolo)";2002
21378;"Sombras Jery";2002
21378;"Nuevo Amanecer";2002
21379;"Rancho La Bodega";2002
21379;"Real del Castillo";2002
21379;"Ampliacion San Vizcaino";2002
21383;"Dos Division Dos";2002
21383;"Union de Residentes Lazaro Cardenas";2002
21384;"El Cipres";2002
21384;"El Roble";2002
21384;"El Robledo";2002
21384;"Emiliano Zapata";2002
21384;"Los Encinos";2002
21385;"Satelite";2002
21386;"Francisco I. Madero";2002
21386;"Rio Hardy";2002
21386;"Granjas Valle Verde";2002
21386;"Ecologicas Campestre";2002
21387;"Ampliacion Solidaridad Social";2002
21387;"Ladrillera Campestre";2002
21387;"Rivera Campestre";2002
21387;"Diego Bustamante";2002
21387;"Nuevo Milenio";2002
21387;"5 de Julio";2002
21389;"Hidalgo";2002
21390;"Granjas Nuevas";2002
21390;"Nueva 18 de Marzo";2002
21390;"Ignacio Allende";2002
21390;"Francisco I Madero";2002
